Action,org:resource,concept:name,EventOrigin,EventID,lifecycle:transition,time:timestamp,case:LoanGoal,case:ApplicationType,case:concept:name,case:RequestedAmount,FirstWithdrawalAmount,NumberOfTerms,Accepted,MonthlyCost,Selected,CreditScore,OfferedAmount,OfferID,duration,eventlog_violation,policy_violation,true_violation
Obtained,User_15,W_Call after offers,Workflow,Workitem_1478364977,resume,2016-01-08 09:00:35.230000+00:00,Car,New credit,Application_901793095,5000.0,,,,,,,,,0.006535277777777778,False,False,False
Obtained,User_17,W_Call after offers,Workflow,Workitem_486270282,start,2016-01-02 10:37:43.749000+00:00,Unknown,New credit,Application_2012588584,0.0,,,,,,,,,5.555555555555555e-07,False,False,False
Released,User_17,W_Complete application,Workflow,Workitem_1962194999,suspend,2016-01-02 09:39:29.719000+00:00,Car,New credit,Application_1806387393,5000.0,,,,,,,,,46.72752638888889,False,False,False
Created,User_1,A_Create Application,Application,Application_1363980603,complete,2016-01-02 09:24:04.072000+00:00,Car,New credit,Application_1363980603,7500.0,,,,,,,,,1.7222222222222224e-05,False,False,False
Created,User_112,W_Validate application,Workflow,Workitem_2051395717,schedule,2016-01-11 10:05:41.945000+00:00,Car,New credit,Application_813133375,33800.0,,,,,,,,,1.9444444444444444e-06,False,False,False
statechange,User_19,A_Concept,Application,ApplState_280147015,complete,2016-01-04 15:47:20.597000+00:00,Unknown,New credit,Application_53530491,0.0,,,,,,,,,0.08190305555555555,False,False,False
Released,User_28,W_Complete application,Workflow,Workitem_1119385850,suspend,2016-01-04 11:28:12.158000+00:00,Existing loan takeover,New credit,Application_1765204099,8300.0,,,,,,,,,0.05841194444444444,False,False,False
Created,User_95,W_Call incomplete files,Workflow,Workitem_431184598,schedule,2016-01-14 10:50:46.117000+00:00,Car,New credit,Application_1876456626,10750.0,,,,,,,,,5.555555555555555e-07,False,False,False
Created,User_14,W_Call after offers,Workflow,Workitem_1679609643,schedule,2016-01-05 18:38:00.632000+00:00,"Other, see explanation",New credit,Application_354702724,5000.0,,,,,,,,,8.333333333333333e-07,False,False,False
Released,User_3,W_Complete application,Workflow,Workitem_1073193984,suspend,2016-01-02 15:36:49.405000+00:00,Not speficied,New credit,Application_1111870538,5000.0,,,,,,,,,0.038955277777777776,False,False,False
statechange,User_16,A_Accepted,Application,ApplState_1022138126,complete,2016-01-05 10:06:07.371000+00:00,Car,New credit,Application_1365381023,5000.0,,,,,,,,,0.014866388888888889,False,False,False
Deleted,User_119,W_Call incomplete files,Workflow,Workitem_1081003995,ate_abort,2016-01-22 08:32:26.943000+00:00,Home improvement,New credit,Application_2113276114,7500.0,,,,,,,,,0.03188152777777778,False,False,False
Obtained,User_108,W_Complete application,Workflow,Workitem_1710737095,resume,2016-01-06 16:18:49.139000+00:00,Existing loan takeover,New credit,Application_1118236712,15000.0,,,,,,,,,0.13781,False,False,False
Obtained,User_43,W_Call after offers,Workflow,Workitem_1109930543,start,2016-01-04 14:53:37.720000+00:00,Car,Limit raise,Application_1696031128,20000.0,,,,,,,,,1.111111111111111e-06,False,False,False
Created,User_38,O_Create Offer,Offer,Offer_1669071500,complete,2016-01-02 11:02:38.994000+00:00,Home improvement,New credit,Application_1691306052,10000.0,500.0,33.0,False,200.0,False,0.0,6000.0,,0.0004022222222222222,False,False,False
Created,User_1,A_Create Application,Application,Application_909491524,complete,2016-01-03 17:13:55.454000+00:00,Caravan / Camper,New credit,Application_909491524,15000.0,,,,,,,,,1.3055555555555555e-05,False,False,False
statechange,User_2,O_Sent (mail and online),Offer,OfferState_1822408467,complete,2016-02-22 12:15:29.467000+00:00,Existing loan takeover,New credit,Application_1252717204,20600.0,,,,,,,,Offer_446640290,259.5764780555555,True,True,True
Deleted,User_1,W_Handle leads,Workflow,Workitem_1892080426,withdraw,2016-01-04 08:29:42.540000+00:00,Car,New credit,Application_952532843,9000.0,,,,,,,,,2.222222222222222e-06,False,False,False
Created,User_112,W_Validate application,Workflow,Workitem_2120672067,schedule,2016-01-19 09:11:07.897000+00:00,"Other, see explanation",New credit,Application_1304234740,50000.0,,,,,,,,,1.388888888888889e-06,False,False,False
Released,User_29,W_Call incomplete files,Workflow,Workitem_2019138860,suspend,2016-03-04 16:22:28.398000+00:00,Car,New credit,Application_1405679737,5000.0,,,,,,,,,88.44221861111112,True,True,True
Deleted,User_90,W_Validate application,Workflow,Workitem_1970874930,ate_abort,2016-01-14 08:16:42.684000+00:00,"Other, see explanation",Limit raise,Application_1787371920,23500.0,,,,,,,,,0.0011731944444444446,False,False,False
Released,User_34,W_Call incomplete files,Workflow,Workitem_112349744,suspend,2016-01-13 13:12:06.918000+00:00,Home improvement,Limit raise,Application_1474017032,15000.0,,,,,,,,,0.0014019444444444444,False,False,False
Obtained,User_71,W_Complete application,Workflow,Workitem_209145010,resume,2016-01-08 09:12:16.263000+00:00,Car,New credit,Application_807916303,12000.0,,,,,,,,,0.019412222222222223,False,False,False
Created,User_44,W_Call after offers,Workflow,Workitem_1834404299,schedule,2016-01-09 10:20:03.958000+00:00,Car,Limit raise,Application_37839400,25000.0,,,,,,,,,8.333333333333333e-07,False,False,False
statechange,User_85,A_Complete,Application,ApplState_1649922374,complete,2016-01-05 10:46:54.836000+00:00,Home improvement,New credit,Application_1754943309,10000.0,,,,,,,,,0.01619138888888889,False,False,False
Created,User_1,W_Complete application,Workflow,Workitem_985636138,schedule,2016-01-04 12:53:32.441000+00:00,Motorcycle,New credit,Application_1068218912,7500.0,,,,,,,,,1.388888888888889e-06,False,False,False
statechange,User_17,O_Sent (mail and online),Offer,OfferState_1970770460,complete,2016-01-13 15:42:06.895000+00:00,Home improvement,New credit,Application_1197857445,6000.0,,,,,,,,Offer_1345717143,4.9999999999999996e-06,False,False,False
Obtained,User_89,W_Call after offers,Workflow,Workitem_1403774616,start,2016-01-04 15:20:22.321000+00:00,Unknown,Limit raise,Application_369018038,0.0,,,,,,,,,5.555555555555555e-07,False,False,False
Deleted,User_100,W_Validate application,Workflow,Workitem_1802328969,ate_abort,2016-01-12 12:59:27.689000+00:00,Home improvement,New credit,Application_1308403282,18000.0,,,,,,,,,1.9444444444444444e-06,False,False,False
Deleted,User_16,W_Complete application,Workflow,Workitem_1734144908,complete,2016-01-05 08:49:49.196000+00:00,Not speficied,New credit,Application_1101997724,10000.0,,,,,,,,,3.055555555555555e-06,False,False,False
statechange,User_17,A_Accepted,Application,ApplState_515475781,complete,2016-01-02 11:40:28.520000+00:00,Existing loan takeover,New credit,Application_1085880569,13000.0,,,,,,,,,0.049341388888888886,False,False,False
Obtained,User_10,W_Complete application,Workflow,Workitem_1016710298,start,2016-01-04 17:48:54.595000+00:00,Car,Limit raise,Application_1130151790,27000.0,,,,,,,,,0.0130775,False,False,False
Deleted,User_1,W_Call after offers,Workflow,Workitem_104001810,ate_abort,2016-02-02 07:00:21.973000+00:00,Remaining debt home,New credit,Application_1966208034,40000.0,,,,,,,,,0.005438055555555556,False,False,False
Created,User_95,W_Validate application,Workflow,Workitem_970931095,schedule,2016-01-13 08:26:43.280000+00:00,Home improvement,New credit,Application_178025821,50000.0,,,,,,,,,5.555555555555555e-07,False,False,False
Released,User_102,W_Validate application,Workflow,Workitem_875106545,suspend,2016-01-25 16:31:18.101000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,,16.181079444444443,False,False,False
statechange,User_16,O_Sent (mail and online),Offer,OfferState_1824362808,complete,2016-01-04 10:37:38.370000+00:00,Tax payments,New credit,Application_446334558,7500.0,,,,,,,,Offer_782570089,3.888888888888889e-06,False,False,False
Obtained,User_52,W_Complete application,Workflow,Workitem_1807328617,start,2016-01-02 13:11:46.123000+00:00,"Other, see explanation",Limit raise,Application_1307111345,20000.0,,,,,,,,,0.03919472222222222,False,False,False
statechange,User_13,O_Sent (mail and online),Offer,OfferState_1358532351,complete,2016-01-04 12:19:20.626000+00:00,Car,New credit,Application_323012882,8000.0,,,,,,,,Offer_204685571,4.166666666666667e-06,False,False,False
Created,User_6,W_Call after offers,Workflow,Workitem_32301608,schedule,2016-01-07 09:13:49.290000+00:00,Car,New credit,Application_709929024,5000.0,,,,,,,,,1.111111111111111e-06,False,False,False
statechange,User_1,O_Cancelled,Offer,OfferState_1279812041,complete,2016-02-29 07:00:48.807000+00:00,Existing loan takeover,New credit,Application_1085880569,13000.0,,,,,,,,Offer_644568599,2.222222222222222e-06,False,False,False
Deleted,User_115,W_Validate application,Workflow,Workitem_1707487166,ate_abort,2016-01-12 10:55:29.381000+00:00,Car,New credit,Application_1699757505,6000.0,,,,,,,,,3.611111111111111e-06,False,False,False
Deleted,User_95,W_Validate application,Workflow,Workitem_51886437,ate_abort,2016-01-18 09:51:44.718000+00:00,Home improvement,Limit raise,Application_1947668470,20000.0,,,,,,,,,0.0011731944444444446,False,False,False
Created,User_117,W_Validate application,Workflow,Workitem_2115008695,schedule,2016-01-19 08:11:38.826000+00:00,Car,New credit,Application_1946236735,16000.0,,,,,,,,,1.111111111111111e-06,False,False,False
Obtained,User_95,W_Validate application,Workflow,Workitem_1988340090,resume,2016-02-15 11:20:58.483000+00:00,Car,New credit,Application_1825972191,15000.0,,,,,,,,,0.0011519444444444446,False,False,False
Obtained,User_3,W_Complete application,Workflow,Workitem_1272625193,resume,2016-01-05 11:27:44.690000+00:00,Car,New credit,Application_709929024,5000.0,,,,,,,,,0.038475833333333334,False,False,False
statechange,User_115,O_Accepted,Offer,OfferState_654444603,complete,2016-01-13 10:55:51.362000+00:00,Car,New credit,Application_1290239114,15000.0,,,,,,,,Offer_913513267,1.222222222222222e-05,False,False,False
Deleted,User_14,W_Complete application,Workflow,Workitem_617675053,ate_abort,2016-01-04 11:19:48.287000+00:00,Home improvement,Limit raise,Application_1474017032,15000.0,,,,,,,,,2.222222222222222e-06,False,False,False
Obtained,User_19,W_Call after offers,Workflow,Workitem_448873828,start,2016-01-04 17:23:02.562000+00:00,Car,New credit,Application_1746793196,5000.0,,,,,,,,,8.333333333333333e-07,False,False,False
Obtained,User_113,W_Validate application,Workflow,Workitem_807860826,start,2016-01-13 09:04:43.990000+00:00,Existing loan takeover,New credit,Application_395903076,16000.0,,,,,,,,,0.00027111111111111113,False,False,False
Obtained,User_38,W_Call after offers,Workflow,Workitem_2140926403,start,2016-01-04 09:02:07.178000+00:00,Car,New credit,Application_1846626914,5000.0,,,,,,,,,5.555555555555555e-07,False,False,False
Created,User_1,W_Complete application,Workflow,Workitem_654742586,schedule,2016-01-01 21:25:01.389000+00:00,Not speficied,New credit,Application_758985626,17000.0,,,,,,,,,2.777777777777778e-06,False,False,False
statechange,User_30,O_Accepted,Offer,OfferState_1276956264,complete,2016-01-22 07:03:32.127000+00:00,Unknown,New credit,Application_2108937169,0.0,,,,,,,,Offer_240332268,5.277777777777778e-06,False,False,False
statechange,User_4,A_Complete,Application,ApplState_536074393,complete,2016-01-06 13:22:41.913000+00:00,Existing loan takeover,New credit,Application_1870161219,27400.0,,,,,,,,,0.064195,False,False,False
Released,User_38,W_Complete application,Workflow,Workitem_1581021332,suspend,2016-01-02 11:10:46.851000+00:00,Caravan / Camper,New credit,Application_1059184025,6600.0,,,,,,,,,0.4813219444444444,False,False,False
statechange,User_112,A_Incomplete,Application,ApplState_510722856,complete,2016-02-04 09:38:44.480000+00:00,Car,Limit raise,Application_1128910355,0.0,,,,,,,,,0.016179722222222224,False,False,False
statechange,User_114,A_Validating,Application,ApplState_1825524637,complete,2016-01-22 13:12:18.171000+00:00,Existing loan takeover,Limit raise,Application_1999238509,10000.0,,,,,,,,,0.005428333333333334,False,False,False
Released,User_34,W_Call incomplete files,Workflow,Workitem_2060058417,suspend,2016-01-21 18:42:06.815000+00:00,Remaining debt home,Limit raise,Application_1374020543,30000.0,,,,,,,,,18.5646925,False,False,False
statechange,User_1,A_Submitted,Application,ApplState_1187974949,complete,2016-01-04 07:31:20.834000+00:00,Home improvement,New credit,Application_2105878744,5000.0,,,,,,,,,7.611111111111112e-05,False,False,False
statechange,User_100,A_Denied,Application,ApplState_956963982,complete,2016-01-11 13:58:55.137000+00:00,Car,Limit raise,Application_1696031128,20000.0,,,,,,,,,7.222222222222222e-06,False,False,False
statechange,User_1,A_Cancelled,Application,ApplState_234859574,complete,2016-02-05 07:00:41.837000+00:00,Home improvement,New credit,Application_1301009504,35000.0,,,,,,,,,9.166666666666666e-06,False,False,False
statechange,User_7,O_Created,Offer,OfferState_1094245883,complete,2016-01-05 09:26:55.372000+00:00,"Other, see explanation",Limit raise,Application_484278024,7000.0,,,,,,,,Offer_1201756876,0.06229583333333333,False,False,False
Obtained,User_75,W_Validate application,Workflow,Workitem_1968570509,resume,2016-01-13 12:35:10.124000+00:00,Car,New credit,Application_1535675187,8500.0,,,,,,,,,0.15808083333333334,False,False,False
Created,User_71,W_Call after offers,Workflow,Workitem_487144746,schedule,2016-01-06 15:53:34.442000+00:00,Existing loan takeover,New credit,Application_1998350808,21800.0,,,,,,,,,5.555555555555555e-07,False,False,False
Created,User_114,W_Validate application,Workflow,Workitem_461166419,schedule,2016-02-10 10:31:01.305000+00:00,Car,New credit,Application_1825972191,15000.0,,,,,,,,,8.333333333333333e-07,False,False,False
statechange,User_75,O_Refused,Offer,OfferState_1470024965,complete,2016-01-25 13:42:06.302000+00:00,"Other, see explanation",New credit,Application_1723028098,25000.0,,,,,,,,Offer_602753079,7.222222222222222e-06,False,False,False
statechange,User_10,A_Accepted,Application,ApplState_807671778,complete,2016-01-05 19:02:17.874000+00:00,Home improvement,Limit raise,Application_1947668470,20000.0,,,,,,,,,0.03698277777777778,False,False,False
statechange,User_8,O_Sent (mail and online),Offer,OfferState_1930609235,complete,2016-01-29 10:04:56.476000+00:00,Home improvement,New credit,Application_774787486,10000.0,,,,,,,,Offer_1292745163,0.47295861111111115,False,False,False
Deleted,User_13,W_Complete application,Workflow,Workitem_1113464328,complete,2016-01-04 12:19:20.641000+00:00,Car,New credit,Application_323012882,8000.0,,,,,,,,,1.6666666666666667e-06,False,False,False
Obtained,User_15,W_Call after offers,Workflow,Workitem_381331010,resume,2016-01-08 08:47:15.266000+00:00,Car,New credit,Application_1395142997,20000.0,,,,,,,,,0.008176944444444445,False,False,False
statechange,User_115,A_Pending,Application,ApplState_323386970,complete,2016-02-03 14:07:44.406000+00:00,Car,Limit raise,Application_37839400,25000.0,,,,,,,,,5.555555555555555e-07,False,False,False
Deleted,User_118,W_Call incomplete files,Workflow,Workitem_946967922,ate_abort,2016-01-13 12:21:12.426000+00:00,Car,New credit,Application_813133375,33800.0,,,,,,,,,2.777777777777778e-06,False,False,False
statechange,User_38,A_Concept,Application,ApplState_662457123,complete,2016-01-02 13:54:22.132000+00:00,Car,New credit,Application_1294530310,10000.0,,,,,,,,,0.15901694444444445,False,False,False
Released,User_117,W_Validate application,Workflow,Workitem_782218963,suspend,2016-01-15 08:18:24.965000+00:00,Home improvement,New credit,Application_1004303396,15000.0,,,,,,,,,5.9073975,False,False,False
statechange,User_1,A_Concept,Application,ApplState_742756869,complete,2016-01-03 14:03:38.939000+00:00,Home improvement,New credit,Application_798605556,35000.0,,,,,,,,,23.038294166666667,True,True,True
statechange,User_30,A_Pending,Application,ApplState_977560469,complete,2016-01-07 12:02:39.169000+00:00,Home improvement,Limit raise,Application_1674281629,30000.0,,,,,,,,,5.555555555555555e-07,False,False,False
